id,school_inep_fk
3808,15085503
3856,15085503
3857,15085503
3858,15085503
3859,15085503
3860,15085503
3861,15085503
3862,15085503
3863,15085503
3864,15085503
3866,15085503
3867,15085503
3869,15085503
3870,15085503
3871,15085503
4510,15085503
4511,15085503
4846,15085538
4847,15085538
4848,15085538
4849,15085538
4850,15085538
4851,15085538
4852,15085538
4853,15085538
4428,15085546
4429,15085546
4430,15085546
4431,15085546
4432,15085546
4433,15085546
4434,15085546
4435,15085546
4436,15085546
4437,15085546
4438,15085546
4439,15085546
4440,15085546
4442,15085546
4443,15085546
4444,15085546
4445,15085546
4446,15085546
4447,15085546
4448,15085546
4449,15085546
3944,15085554
3945,15085554
3946,15085554
3947,15085554
3948,15085554
3949,15085554
3950,15085554
3951,15085554
3890,15085619
3891,15085619
3892,15085619
3893,15085619
3894,15085619
3895,15085619
3896,15085619
3897,15085619
3898,15085619
3899,15085619
3900,15085619
3901,15085619
3907,15085619
3914,15085619
3915,15085619
3916,15085619
3917,15085619
3921,15085619
3922,15085619
4866,15085627
4867,15085627
4735,15085643
4736,15085643
4737,15085643
4738,15085643
4739,15085643
4740,15085643
4741,15085643
4742,15085643
4743,15085643
4744,15085643
4745,15085643
4746,15085643
4747,15085643
4749,15085643
4750,15085643
5120,15085651
5121,15085651
5122,15085651
5123,15085651
5124,15085651
5139,15085651
5140,15085651
5141,15085651
5142,15085651
5143,15085651
5144,15085651
5145,15085651
5146,15085651
5147,15085651
5294,15085651
5295,15085651
5311,15085651
5322,15085651
5341,15085651
5348,15085651
5349,15085651
5350,15085651
5353,15085651
5355,15085651
5356,15085651
5462,15085651
3677,15085686
3738,15085686
4644,15085686
4693,15085686
4695,15085686
4696,15085686
4713,15085686
4080,15085694
4081,15085694
4082,15085694
4083,15085694
4084,15085694
4085,15085694
4090,15085694
4091,15085694
4758,15085694
4759,15085694
4760,15085694
4761,15085694
4762,15085694
4763,15085694
4767,15085694
5419,15085759
5421,15085759
5443,15085759
5445,15085759
5319,15085910
5487,15085910
5488,15085910
5489,15085910
5490,15085910
5491,15085910
5492,15085910
5493,15085910
4094,15085937
4095,15085937
4096,15085937
4098,15085937
4099,15085937
4100,15085937
