id,school_inep_fk
129,31271420
131,31271420
140,31327859
141,28016254
141,31327859
142,28016254
144,31327859
147,28016254
148,28027264
149,28027264
150,28027264
150,31085952
155,28016262
161,28016270
162,28016270
168,28016262
171,28030737
175,28000390
184,28000390
288,28036964
289,28036964
290,28036964
291,28036964
292,28036964
293,28036964
294,28036964
295,28036964
296,28036972
297,24010200
297,28016939
297,28030680
297,32004290
298,28036972
299,28016033
299,28016939
299,28030680
299,32004290
300,28036972
301,28036972
302,28002156
303,24010111
303,28016041
303,32004290
304,28002156
305,28002156
306,28002156
307,28002156
308,28002156
309,28002156
310,28002156
311,28002156
312,28002156
321,28002156
322,28002156
323,28002156
324,28002156
325,28001761
326,28001737
327,28001737
328,28001737
329,28001737
330,28001737
331,28001737
331,28016041
332,28001737
333,28001737
334,28016041
337,28001737
338,28016041
338,28034139
339,28001761
339,28016041
340,28001761
340,28016068
341,28001761
342,28001761
343,28001761
344,28001761
345,28001761
346,28001761
347,28001761
348,28001761
350,28034139
352,28034139
354,28034139
355,28034139
357,28034139
358,28030737
359,28034139
360,28034139
361,28030737
361,28034139
362,28030737
362,28034139
363,28034139
364,28034139
365,28034139
366,28030737
366,28034139
367,28030737
368,28034139
370,28030737
371,28001761
371,28030737
372,28001761
372,28016041
373,28036972
374,28036972
375,28036972
376,28036972
377,28036972
378,28005880
378,28036972
379,24010146
379,28005880
379,28032934
380,28002024
381,28002024
382,28002024
383,28002024
384,28002024
384,28032934
385,28002024
386,28002024
386,28016050
387,24088854
387,25039113
387,28032934
388,28002024
388,28016050
389,28002024
390,28002024
390,28016050
393,28030680
394,28002024
395,28002024
396,28033248
397,28030680
397,28033248
398,28033248
399,28032020
400,28002172
401,28002172
401,28016033
402,28002172
403,28002172
403,28016033
404,28002172
405,28002172
405,28016033
406,28002172
407,28001842
407,28005988
408,28001842
409,28001842
410,28001842
411,28001842
411,28016033
412,28001842
413,28001842
413,28016033
413,28016947
414,28001842
415,28001842
418,28005961
420,28001842
424,28016033
425,28016033
426,28113403
427,28032616
428,28032616
429,28032616
430,28001826
430,28032616
430,28113403
431,28001826
431,28113403
432,28001826
433,28001982
433,28005880
434,28001982
436,28001982
436,28016009
437,28001982
438,28005988
441,28032934
445,28001826
445,28005970
445,28029259
445,28032616
446,28001826
446,28029259
446,28032616
447,28001826
447,28029259
448,28001826
449,28001826
451,28001982
451,28029259
452,28001982
453,28001982
453,28005902
454,28001982
455,28035453
456,28035453
457,28029259
457,28035453
458,28016939
458,28035453
459,28035453
460,28016033
460,28035453
461,28030737
461,28035453
462,28001672
463,28016939
464,28001672
464,28005988
465,28001672
465,28005988
466,28001672
466,28030680
466,28032934
467,28001672
467,28032934
468,28001672
469,28001672
470,28001672
470,28016033
471,28001761
471,28016033
472,28001761
472,28016033
473,28005961
473,28016033
473,28036395
474,28005872
474,28016033
474,28036395
475,28005872
475,28030338
476,28030338
476,28036395
477,28030338
477,28036395
478,28036395
479,28030338
479,28036395
480,28030338
480,28036395
481,28036395
482,28036395
483,28036395
484,28036395
485,28036395
486,28036395
487,28036395
488,28036395
489,28036395
493,28016912
493,28036395
494,28036395
504,28001702
505,28001702
506,28001702
507,28001702
508,28001702
509,28001702
510,28016912
511,28001702
512,28001702
513,28001702
514,28001702
526,28001702
527,28001702
528,28001702
529,21022712
530,28001702
531,28001702
532,28001702
533,28001702
534,28001702
535,28002156
536,28002156
537,28002156
538,28002156
540,28002156
545,28001761
546,28001761
547,28001761
548,28001761
549,28001761
550,28001761
560,28001761
561,28001761
561,28029259
562,28002156
563,28002156
564,28001702
565,28001702
566,28001702
567,28001702
568,28001702
569,28001702
570,28001702
571,28001702
573,28001702
574,28001702
586,28002156
588,28001702
589,28001702
597,28002156
598,28002156
601,28015266
602,28002156
603,28002156
604,28002156
605,28036395
606,28036395
607,28036395
608,28036395
609,28036395
610,28036395
611,28036395
612,28036395
613,28036395
614,28036395
615,28002156
619,28002156
626,28001826
627,28001826
628,28001826
629,28001826
632,28002156
641,28001826
642,28001826
643,28036395
644,21022704
644,28036395
645,28036395
646,28036395
647,28036395
648,28036395
649,28036395
650,28036395
651,28001761
652,21032084
653,21032521
654,21032521
655,21032521
656,21032521
669,21022712
671,21331650
672,28001672
673,28001672
674,28001672
675,28001672
676,28001672
677,28001672
678,28001672
679,28001672
683,28033248
684,28033248
685,28033248
686,28001702
687,28001702
688,28001702
689,28001702
696,28001702
697,28001702
698,28001702
699,28001702
700,28001702
701,28001702
709,32069332
712,28001702
713,28001702
714,28036972
715,28002024
715,32069332
716,32069332
717,32069332
718,21031967
718,32069332
722,32059833
723,28022041
723,32059833
724,28022041
728,28022041
729,28022041
730,28022041
734,28001826
735,28001826
736,28001826
736,28022041
737,28001826
737,28022181
737,32059833
738,28001826
739,28001826
740,28022181
741,28022246
742,28022149
743,28022149
744,28022246
745,21031762
745,28032373
746,28036395
747,28036395
748,28036395
749,21022780
749,28036395
750,28036395
751,21022780
751,28036395
752,21022780
752,28036395
753,28036395
754,28036395
755,28036395
756,28036395
757,28036395
758,21032084
758,28022092
758,32065752
759,28022092
759,32065752
760,28036395
761,28022092
761,28036395
761,32060521
762,28036395
763,28036395
764,28034139
765,28034139
766,28034139
767,28034139
768,28034139
769,28034139
770,28034139
771,28034139
772,28034139
773,28034139
774,28034139
775,28034139
776,28034139
777,28034139
778,28034139
779,28002156
780,28002156
781,28002156
782,28002156
783,28002156
784,28002156
785,28002156
786,28002156
787,28002156
788,28002156
796,28002156
797,28002156
798,28022068
799,28022068
800,21032424
800,28022068
801,28022068
802,28022068
803,21032424
803,28022220
803,32065744
804,21032424
804,28022220
804,32060483
805,21032424
805,28022220
805,32060483
806,21032424
806,32065744
807,32065744
808,32065744
809,28022220
809,32065744
810,32060483
811,28022220
811,32065744
812,28022386
812,32060483
813,28022386
813,32060483
814,28022386
814,32060483
815,28022386
815,32060483
816,28022386
816,32060483
817,28022386
817,32060483
818,28022386
818,32060483
819,28022386
819,32060483
820,21033080
820,28022386
821,21032327
821,28022386
822,28036395
823,28036395
824,21031908
824,28001737
824,32069340
825,28001737
826,21275998
826,28001737
826,28022386
826,32069340
827,28001737
828,28001737
829,28001737
830,28001737
831,28001737
831,28022386
835,28001737
836,28036964
837,28036964
838,28036964
839,28022173
